industries_clean,crop_and_animal_production,forestry_and_logging,fishing,mining,extraction_oli_ores,other_mining,mining_support_service,production_of_meat_products,fish_fruit_and_vegetables,oils_and_fats,dairy_products,grain_mill_products,bakery_products,other_food_products,prepared_animal_feeds,alcohol_tobacco,soft_drinks,textiles,wearing_apparel,leather,wood,paper,recorded_media,refined_petroleum,paints_varnishes_printing_ink,soap_detergents_cleaning,other_chemical,industrial_gases_chemicals,petrochemicals,dyestuffs_agro_chemicals,pharmaceutical,rubber_and_plastic,cement_lime_plaster,glass_clay_ceramic,iron_steel,other_metals_and_casting,weapons_ammunition,fabricated_metal_products,computer_electronic_optical,electrical_equipment,machinery_and_equipment,motor_vehicles_trailers,building_ships,air_and_spacecraft,other_transport_equipment,furniture,other_manufacturing,maintenance_ships,maintenance_aircraft_spacecraft,rest_of_repair_installation,electric_power_generation,manufacture_of_gas_distribution,water_collection_treatment_and_supply,sewerage,waste_collection_treatment,other_waste_management_services,construction,motor_vehicles_and_motorcycles,wholesale_trade,retail_trade,rail_transport,land_transport_services,water_transport,air_transport,warehousing,postal_and_courier,accommodation,food_and_beverage,publishing_activities,motion_picture_video,telecommunications,computer_programming,information_service_activities,financial_service_activities,insurance_pension,auxiliary_financial_services,real_estate_services,owner_occupiers_housing,buying_and_selling_renting,legal_activities,accounting_bookkeeping,head_offices_management,architectural,scientific_r_and_d,advertising_market_research,other_scientific_activities,veterinary_activities,rental_leasing_activities,employment_activities,travel_agency,security_activities,services_to_buildings,administrative_office_support,public_administration,education,human_health_activities,social_work_activities,creative_arts_activities,libraries_archives_museums,gambling_and_betting_activities,sports_and_amusement_activities,membership_organisations,repair_of_household_goods,other_personal_service_activities,total
rubber_and_plastic,542,2,7,1,27,39,3,364,196,9,268,8,306,210,5,23,422,18,10,1,7,464,419,5,8,15,10,15,41,2,298,59,13,7,13,2,12,153,295,216,287,1036,33,267,4,62,77,6,2,92,25,3,4,2,270,2,3153,27,429,944,6,396,9,5,212,4,11,62,69,16,18,61,10,89,31,74,2,15,27,11,2,6,21,90,8,15,2,9,2,6,1,153,14,201,150,409,87,128,4,3,15,28,7,67,13795
cement_lime_plaster,3,0,0,0,3,32,1,3,2,0,2,1,2,7,1,16,8,1,0,0,5,6,3,1,1,7,33,1,2,0,3,10,52,131,5,1,3,102,4,5,11,20,4,8,0,2,2,0,0,2,5,2,2,3,24,0,6659,3,19,17,4,11,1,1,4,1,4,11,7,3,2,5,1,5,1,3,0,109,22,1,1,2,7,6,2,4,0,2,0,1,0,2,7,95,114,39,4,12,18,1,29,11,0,4,7794
glass_clay_ceramic,21,0,0,0,5,173,1,8,5,0,7,1,6,77,1,250,131,1,2,0,17,12,9,1,2,1,2,2,6,0,13,97,5,9,32,1,3,24,14,45,14,53,56,14,1,3,4,0,0,4,12,1,2,0,91,0,2962,14,24,81,6,14,1,1,7,1,34,72,5,3,2,7,1,6,2,3,0,105,21,1,1,2,6,15,2,4,0,3,1,1,0,5,4,64,72,46,4,14,8,0,3,19,1,54,4946
iron_steel,2,1,0,3,117,3,2,3,2,0,2,1,3,3,0,2,10,2,0,0,2,4,6,1,0,1,0,1,0,1,10,1,76,3,8,0,38,8,72,47,53,1315,44,1090,25,63,58,49,1,86,53,7,4,0,279,0,863,3,14,10,2,3,0,1,2,0,2,4,0,1,2,6,0,4,4,2,0,1,19,1,0,1,2,11,1,1,0,9,0,0,1,17,3,11,6,6,3,5,12,1,2,1,1,0,4603
other_metals_and_casting,7,0,0,0,8,1,1,2,4,0,1,1,2,3,1,2,2,1,0,0,2,3,3,1,1,1,2,1,1,0,3,3,3,2,117,2,148,13,318,4,133,612,7,741,5,49,100,0,17,82,405,2,18,0,8,0,1306,3,19,15,2,12,1,20,4,1,2,4,6,2,2,4,2,5,2,2,0,1,31,1,1,1,2,13,1,2,0,2,0,1,0,3,5,13,8,13,4,1,0,1,2,1,2,1,4362
weapons_ammunition,3,0,1,2,31,11,8,11,6,0,6,3,6,7,4,10,7,4,2,0,5,4,6,10,3,3,3,2,5,3,6,16,11,9,13,2,11,21,7,5,13,62,0,19,2,4,5,0,1,37,74,43,4,1,7,0,15,16,32,63,75,8,3,1,34,2,5,30,4,7,27,10,5,2,1,2,0,0,2,3,3,9,3,78,1,5,1,22,1,2,2,4,19,1713,4,25,22,2,2,9,13,2,0,5,2832
fabricated_metal_products,45,2,7,4,369,18,23,26,16,1,19,5,41,125,7,19,112,8,4,5,71,98,221,12,4,97,42,4,11,4,220,26,39,124,383,4,368,1172,493,221,1981,1719,21,1257,6,103,210,8,5,164,376,60,12,1,625,0,5604,102,97,188,86,33,8,10,51,4,10,46,21,20,39,33,9,28,16,47,2,138,39,9,5,17,74,23,10,19,2,40,2,5,3,93,368,118,81,146,43,8,5,11,21,6,3,10,18777
computer_electronic_optical,18,2,3,6,119,34,30,38,23,1,23,11,22,25,18,32,26,13,9,4,19,29,62,30,9,9,22,11,17,8,65,54,35,39,40,7,56,66,918,67,179,261,9,206,10,20,91,1,6,159,437,127,17,3,28,0,616,57,492,363,230,74,34,10,182,15,50,131,72,326,350,204,75,76,12,43,1,10,62,25,18,31,452,245,50,36,7,77,3,80,7,107,122,1557,337,603,111,110,24,27,61,110,3,48,11314
electrical_equipment,11,1,1,1,39,10,5,12,7,0,9,3,8,12,4,11,13,4,2,0,6,10,11,6,2,4,4,3,7,2,16,16,8,8,15,2,99,31,51,17,56,146,3,1079,2,6,74,0,0,37,257,30,4,0,23,0,3558,25,62,154,38,25,3,5,25,2,10,38,7,22,21,18,5,53,8,25,1,16,30,5,3,8,17,54,5,6,1,100,1,3,24,12,19,380,67,69,52,5,8,5,30,5,29,6,7254
machinery_and_equipment,41,23,8,44,1404,122,83,83,43,4,45,32,88,84,28,100,232,68,17,1,73,86,142,63,18,22,22,29,40,26,232,101,104,98,113,16,254,185,152,353,978,561,47,293,13,45,125,3,5,227,1221,388,105,5,270,0,1996,236,445,476,439,110,21,18,215,18,38,206,50,74,185,114,37,68,14,34,2,14,44,26,22,62,57,241,23,38,7,329,5,16,24,375,135,304,82,242,144,24,15,61,105,21,7,33,16217
